course_name,unit_name,course_number_a,course_number_t,unit_number_a,unit_number_t,bsss_location
Digital Technology,Digital Solutions,1396,1394,15775,13100,http://www.bsss.act.edu.au/__data/assets/word_doc/0004/454261/Digital_Technologies_A-T-M-V_20-24.docx
Robotics and Mechatronics,Robotics & Mechatronic Systems,1368,1347,15639,13020,http://www.bsss.act.edu.au/__data/assets/word_doc/0006/454263/Robotics_and_Mechatronics_A-T-M-V_20-24.docx
